home,guest,attendance,game_date
Buducnost VOLI Podgorica,AX Armani Exchange Olimpia Milan,4409,2018-10-12
CSKA Moscow,FC Barcelona Lassa,12023,2018-10-11
Panathinaikos OPAP Athens,Maccabi FOX Tel Aviv,10150,2018-10-11
Real Madrid,Darussafaka Tekfen Istanbul,8168,2018-10-11
Khimki Moscow Region,Olympiacos Piraeus,6497,2018-10-12
Zalgiris Kaunas,KIROLBET Baskonia Vitoria-Gasteiz,15107,2018-10-12
Fenerbahce Beko Istanbul,Herbalife Gran Canaria,8081,2018-10-12
FC Bayern Munich,Anadolu Efes Istanbul,3358,2018-10-11
Darussafaka Tekfen Istanbul,Buducnost VOLI Podgorica,1011,2018-10-16
Maccabi FOX Tel Aviv,CSKA Moscow,10600,2018-10-16
FC Bayern Munich,Panathinaikos OPAP Athens,3990,2018-10-16
Herbalife Gran Canaria,FC Barcelona Lassa,5285,2018-10-16
Anadolu Efes Istanbul,Zalgiris Kaunas,5549,2018-10-17
Fenerbahce Beko Istanbul,Khimki Moscow Region,8132,2018-10-17
AX Armani Exchange Olimpia Milan,Real Madrid,8633,2018-10-17
KIROLBET Baskonia Vitoria-Gasteiz,Olympiacos Piraeus,10327,2018-10-17
Buducnost VOLI Podgorica,Maccabi FOX Tel Aviv,4609,2018-10-18
CSKA Moscow,Darussafaka Tekfen Istanbul,4712,2018-10-18
Panathinaikos OPAP Athens,Herbalife Gran Canaria,7487,2018-10-18
FC Barcelona Lassa,FC Bayern Munich,4372,2018-10-18
Khimki Moscow Region,Anadolu Efes Istanbul,5153,2018-10-19
Zalgiris Kaunas,Fenerbahce Beko Istanbul,14781,2018-10-19
Olympiacos Piraeus,AX Armani Exchange Olimpia Milan,9202,2018-10-19
Real Madrid,KIROLBET Baskonia Vitoria-Gasteiz,10390,2018-10-19
Anadolu Efes Istanbul,Fenerbahce Beko Istanbul,5348,2018-10-25
Olympiacos Piraeus,Maccabi FOX Tel Aviv,7455,2018-10-25
AX Armani Exchange Olimpia Milan,Khimki Moscow Region,6343,2018-10-25
Real Madrid,Buducnost VOLI Podgorica,7804,2018-10-25
Darussafaka Tekfen Istanbul,FC Barcelona Lassa,3908,2018-10-26
Panathinaikos OPAP Athens,Zalgiris Kaunas,11085,2018-10-26
FC Bayern Munich,KIROLBET Baskonia Vitoria-Gasteiz,3259,2018-10-25
Herbalife Gran Canaria,CSKA Moscow,7430,2018-10-26
CSKA Moscow,Olympiacos Piraeus,9052,2018-11-01
Fenerbahce Beko Istanbul,FC Bayern Munich,8868,2018-11-01
FC Barcelona Lassa,Maccabi FOX Tel Aviv,6772,2018-11-01
Khimki Moscow Region,Herbalife Gran Canaria,4921,2018-11-02
Buducnost VOLI Podgorica,Panathinaikos OPAP Athens,4919,2018-11-02
Zalgiris Kaunas,Real Madrid,15105,2018-11-02
KIROLBET Baskonia Vitoria-Gasteiz,Darussafaka Tekfen Istanbul,10799,2018-11-01
AX Armani Exchange Olimpia Milan,Anadolu Efes Istanbul,9831,2018-11-02
FC Bayern Munich,Darussafaka Tekfen Istanbul,3988,2018-11-08
Maccabi FOX Tel Aviv,Real Madrid,10898,2018-11-08
AX Armani Exchange Olimpia Milan,CSKA Moscow,8641,2018-11-08
Herbalife Gran Canaria,Anadolu Efes Istanbul,4641,2018-11-08
Khimki Moscow Region,FC Barcelona Lassa,7151,2018-11-09
Buducnost VOLI Podgorica,Zalgiris Kaunas,4417,2018-11-09
Panathinaikos OPAP Athens,Olympiacos Piraeus,17345,2018-11-09
KIROLBET Baskonia Vitoria-Gasteiz,Fenerbahce Beko Istanbul,10929,2018-11-09
Darussafaka Tekfen Istanbul,AX Armani Exchange Olimpia Milan,2343,2018-11-15
Buducnost VOLI Podgorica,KIROLBET Baskonia Vitoria-Gasteiz,4138,2018-11-15
Olympiacos Piraeus,Fenerbahce Beko Istanbul,9379,2018-11-15
FC Bayern Munich,CSKA Moscow,4613,2018-11-16
Real Madrid,Khimki Moscow Region,8517,2018-11-15
Anadolu Efes Istanbul,Panathinaikos OPAP Athens,7031,2018-11-16
Zalgiris Kaunas,FC Barcelona Lassa,15126,2018-11-16
Herbalife Gran Canaria,Maccabi FOX Tel Aviv,4931,2018-11-16
Anadolu Efes Istanbul,Maccabi FOX Tel Aviv,3853,2018-11-20
Fenerbahce Beko Istanbul,Darussafaka Tekfen Istanbul,7380,2018-11-20
FC Bayern Munich,Olympiacos Piraeus,4532,2018-11-20
Real Madrid,Herbalife Gran Canaria,7328,2018-11-20
Khimki Moscow Region,Buducnost VOLI Podgorica,3573,2018-11-21
CSKA Moscow,Zalgiris Kaunas,6922,2018-11-21
Panathinaikos OPAP Athens,FC Barcelona Lassa,10935,2018-11-21
AX Armani Exchange Olimpia Milan,KIROLBET Baskonia Vitoria-Gasteiz,7754,2018-11-21
Darussafaka Tekfen Istanbul,Anadolu Efes Istanbul,2872,2018-11-22
Olympiacos Piraeus,Real Madrid,9149,2018-11-22
Maccabi FOX Tel Aviv,Fenerbahce Beko Istanbul,9817,2018-11-22
Herbalife Gran Canaria,FC Bayern Munich,3872,2018-11-22
Zalgiris Kaunas,Khimki Moscow Region,14537,2018-11-23
KIROLBET Baskonia Vitoria-Gasteiz,Panathinaikos OPAP Athens,11286,2018-11-23
Buducnost VOLI Podgorica,CSKA Moscow,5083,2018-11-23
FC Barcelona Lassa,AX Armani Exchange Olimpia Milan,5239,2018-11-23
Darussafaka Tekfen Istanbul,Herbalife Gran Canaria,1994,2018-11-29
Zalgiris Kaunas,AX Armani Exchange Olimpia Milan,13650,2018-11-29
Olympiacos Piraeus,Buducnost VOLI Podgorica,5846,2018-11-30
Maccabi FOX Tel Aviv,FC Bayern Munich,10435,2018-11-29
Real Madrid,CSKA Moscow,12749,2018-11-29
Khimki Moscow Region,Panathinaikos OPAP Athens,5796,2018-11-30
Anadolu Efes Istanbul,KIROLBET Baskonia Vitoria-Gasteiz,3983,2018-11-30
FC Barcelona Lassa,Fenerbahce Beko Istanbul,6013,2018-11-30
Darussafaka Tekfen Istanbul,Maccabi FOX Tel Aviv,1922,2018-12-06
Buducnost VOLI Podgorica,FC Barcelona Lassa,5239,2018-12-06
Zalgiris Kaunas,Olympiacos Piraeus,14385,2018-12-06
FC Bayern Munich,Khimki Moscow Region,3281,2018-12-06
AX Armani Exchange Olimpia Milan,Herbalife Gran Canaria,8361,2018-12-06
Anadolu Efes Istanbul,Real Madrid,12289,2018-12-07
KIROLBET Baskonia Vitoria-Gasteiz,CSKA Moscow,12307,2018-12-07
Panathinaikos OPAP Athens,Fenerbahce Beko Istanbul,13012,2018-12-07
CSKA Moscow,Khimki Moscow Region,7562,2018-12-13
Fenerbahce Beko Istanbul,AX Armani Exchange Olimpia Milan,11463,2018-12-13
Olympiacos Piraeus,Anadolu Efes Istanbul,9357,2018-12-13
Maccabi FOX Tel Aviv,KIROLBET Baskonia Vitoria-Gasteiz,10551,2018-12-13
Real Madrid,FC Barcelona Lassa,11953,2018-12-13
FC Bayern Munich,Zalgiris Kaunas,3445,2018-12-14
Panathinaikos OPAP Athens,Darussafaka Tekfen Istanbul,8348,2018-12-14
Herbalife Gran Canaria,Buducnost VOLI Podgorica,4985,2018-12-14
Anadolu Efes Istanbul,Buducnost VOLI Podgorica,3153,2018-12-18
Fenerbahce Beko Istanbul,CSKA Moscow,12119,2018-12-18
FC Barcelona Lassa,Olympiacos Piraeus,4954,2018-12-18
Herbalife Gran Canaria,KIROLBET Baskonia Vitoria-Gasteiz,4121,2018-12-18
Darussafaka Tekfen Istanbul,Zalgiris Kaunas,1999,2018-12-19
Maccabi FOX Tel Aviv,Khimki Moscow Region,10655,2018-12-19
AX Armani Exchange Olimpia Milan,FC Bayern Munich,6596,2018-12-19
Real Madrid,Panathinaikos OPAP Athens,9749,2018-12-19
CSKA Moscow,Anadolu Efes Istanbul,6316,2018-12-20
Buducnost VOLI Podgorica,Fenerbahce Beko Istanbul,5255,2018-12-20
Olympiacos Piraeus,Herbalife Gran Canaria,6762,2018-12-20
KIROLBET Baskonia Vitoria-Gasteiz,FC Barcelona Lassa,11018,2018-12-20
Khimki Moscow Region,Darussafaka Tekfen Istanbul,3259,2018-12-21
Zalgiris Kaunas,Maccabi FOX Tel Aviv,15168,2018-12-21
Panathinaikos OPAP Athens,AX Armani Exchange Olimpia Milan,9052,2018-12-21
FC Bayern Munich,Real Madrid,5414,2018-12-21
Khimki Moscow Region,KIROLBET Baskonia Vitoria-Gasteiz,3911,2018-12-27
Darussafaka Tekfen Istanbul,Olympiacos Piraeus,2475,2018-12-27
Maccabi FOX Tel Aviv,AX Armani Exchange Olimpia Milan,10653,2018-12-27
FC Barcelona Lassa,Anadolu Efes Istanbul,5969,2018-12-27
Fenerbahce Beko Istanbul,Real Madrid,12722,2018-12-28
Panathinaikos OPAP Athens,CSKA Moscow,15733,2018-12-28
FC Bayern Munich,Buducnost VOLI Podgorica,5809,2018-12-28
Herbalife Gran Canaria,Zalgiris Kaunas,5173,2018-12-28
Anadolu Efes Istanbul,FC Bayern Munich,5056,2019-01-03
AX Armani Exchange Olimpia Milan,Buducnost VOLI Podgorica,7865,2019-01-03
Real Madrid,Maccabi FOX Tel Aviv,9915,2019-01-03
Herbalife Gran Canaria,Khimki Moscow Region,4823,2019-01-03
Fenerbahce Beko Istanbul,KIROLBET Baskonia Vitoria-Gasteiz,11030,2019-01-04
Zalgiris Kaunas,CSKA Moscow,15205,2019-01-04
Olympiacos Piraeus,Panathinaikos OPAP Athens,11107,2019-01-04
FC Barcelona Lassa,Darussafaka Tekfen Istanbul,6008,2019-01-04
Khimki Moscow Region,Fenerbahce Beko Istanbul,6759,2019-01-08
Zalgiris Kaunas,Anadolu Efes Istanbul,14738,2019-01-08
Olympiacos Piraeus,KIROLBET Baskonia Vitoria-Gasteiz,7078,2019-01-08
Herbalife Gran Canaria,Real Madrid,5214,2019-01-08
Darussafaka Tekfen Istanbul,CSKA Moscow,3026,2019-01-09
Panathinaikos OPAP Athens,FC Bayern Munich,9319,2019-01-09
Maccabi FOX Tel Aviv,Buducnost VOLI Podgorica,9476,2019-01-09
AX Armani Exchange Olimpia Milan,FC Barcelona Lassa,8190,2019-01-09
Anadolu Efes Istanbul,Khimki Moscow Region,4230,2019-01-10
Fenerbahce Beko Istanbul,Zalgiris Kaunas,10462,2019-01-10
KIROLBET Baskonia Vitoria-Gasteiz,Herbalife Gran Canaria,9812,2019-01-11
Real Madrid,Olympiacos Piraeus,10860,2019-01-10
CSKA Moscow,Maccabi FOX Tel Aviv,5645,2019-01-11
Buducnost VOLI Podgorica,Darussafaka Tekfen Istanbul,4081,2019-01-11
FC Bayern Munich,AX Armani Exchange Olimpia Milan,4080,2019-01-11
FC Barcelona Lassa,Panathinaikos OPAP Athens,5934,2019-01-11
CSKA Moscow,FC Bayern Munich,5297,2019-01-17
Olympiacos Piraeus,Khimki Moscow Region,7499,2019-01-17
Maccabi FOX Tel Aviv,FC Barcelona Lassa,11011,2019-01-17
Herbalife Gran Canaria,Fenerbahce Beko Istanbul,4669,2019-01-17
Anadolu Efes Istanbul,Darussafaka Tekfen Istanbul,4844,2019-01-18
Buducnost VOLI Podgorica,Real Madrid,5260,2019-01-18
Zalgiris Kaunas,Panathinaikos OPAP Athens,15140,2019-01-18
KIROLBET Baskonia Vitoria-Gasteiz,AX Armani Exchange Olimpia Milan,10626,2019-01-18
