Season,Player,Age[b],Pos[c],Team,"Games
played","Field goals
made","3-pointfield goals
made","Free throws
made","Total
points",Points pergame,Ref
1946–47,Joe Fulks*,25,F/C,Philadelphia Warriors,60,475,—,439,1389,23.2,[13][14]
1947–48,Max Zaslofsky[d],22,G/F,Chicago Stags,48,373,—,261,1007,21,[16][17]
1948–49,George Mikan*,24,C,Minneapolis Lakers,60,583,—,532,1698,28.3,[18][19]
1949–50,George Mikan* (2),25,C,Minneapolis Lakers,68,649,—,567,1865,27.4,[19][20]
1950–51,George Mikan* (3),26,C,Minneapolis Lakers,68,678,—,576,1932,28.4,[19][21]
1951–52,Paul Arizin*,23,F/G,Philadelphia Warriors,66,548,—,578,1674,25.4,[22][23]
1952–53,Neil Johnston*,23,C,Philadelphia Warriors,70,504,—,556,1564,22.3,[24][25]
1953–54,Neil Johnston* (2),24,C,Philadelphia Warriors,72,591,—,577,1759,24.5,[25][26]
1954–55,Neil Johnston* (3),25,C,Philadelphia Warriors,72,521,—,589,1631,22.7,[25][27]
1955–56 ,Bob Pettit*,23,F/C,St. Louis Hawks,72,646,—,557,1849,25.7,[28][29]
1956–57,Paul Arizin* (2),28,F/G,Philadelphia Warriors,71,613,—,591,1817,25.6,[23][30]
1957–58,George Yardley*,29,F/G,Detroit Pistons,72,673,—,655,2001,27.8,[31][32]
1958–59 ,Bob Pettit* (2),26,F/C,St. Louis Hawks,72,719,—,667,2105,29.2,[29][33]
1959–60 ,Wilt Chamberlain*[e],23,C,Philadelphia Warriors,72,1065,—,577,2707,37.6,[34][35]
1960–61,Wilt Chamberlain* (2),24,C,Philadelphia Warriors,79,1251,—,531,3033,38.4,[35][36]
1961–62,Wilt Chamberlain* (3)[f],25,C,Philadelphia Warriors,80,1597,—,835,4029,50.4,[35][37]
1962–63,Wilt Chamberlain* (4),26,C,San Francisco Warriors,80,1463,—,660,3586,44.8,[35][38]
1963–64,Wilt Chamberlain* (5),27,C,San Francisco Warriors,80,1204,—,540,2948,36.9,[35][39]
1964–65,Wilt Chamberlain* (6),28,C,"San Francisco Warriors
Philadelphia 76ers",73,1063,—,408,2534,34.7,[35][40]
1965–66 ,Wilt Chamberlain* (7),29,C,Philadelphia 76ers,79,1074,—,501,2649,33.5,[35][41]
1966–67,Rick Barry*,22,F,San Francisco Warriors,78,1011,—,753,2775,35.6,[42][43]
1967–68,Dave Bing*[g],24,G,Detroit Pistons,79,835,—,472,2142,27.1,[46][47]
1968–69,Elvin Hayes*[h],23,F/C,San Diego Rockets,82,930,—,467,2327,28.4,[48][49]
1969–70,Jerry West*[i],31,G,Los Angeles Lakers,74,831,—,647,2309,31.2,[51][52]
1970–71 ,Lew Alcindor*[j],23,C,Milwaukee Bucks,82,1063,—,470,2596,31.7,[54][55]
1971–72 ,Kareem Abdul-Jabbar* (2),24,C,Milwaukee Bucks,81,1159,—,504,2822,34.8,[55][56]
1972–73,Nate Archibald*,24,G,Kansas City-Omaha Kings,80,1028,—,663,2719,34,[57][58]
1973–74,Bob McAdoo*,22,C/F,Buffalo Braves,74,901,—,459,2261,30.6,[59][60]
1974–75 ,Bob McAdoo* (2),23,C/F,Buffalo Braves,82,1095,—,641,2831,34.5,[60][61]
1975–76,Bob McAdoo* (3),24,C/F,Buffalo Braves,78,934,—,559,2427,31.1,[60][62]
1976–77,Pete Maravich*,29,G,New Orleans Jazz,73,886,—,501,2273,31.1,[63][64]
1977–78,George Gervin*[k],25,G/F,San Antonio Spurs,82,864,—,504,2232,27.2,[70][71]
