jump_id,jump_name,jump_team,jump_id_2,jump_name_2,jump_team_2,grab_id,grab_name,grab_team,period,at_time,game_id,WL,height,weight,height_2,weight_2,question,win_jb,lose_jb
201143,Al Horford,BOS,203954,Joel Embiid,PHI,1627732,Ben Simmons,PHI,1,12:00,0021800001,W,206.0,109.0,213.0,127.0,False,False,True
1627759,Jaylen Brown,BOS,203967,Dario Saric,PHI,201143,Al Horford,BOS,3,10:20,0021800001,W,198.0,101.0,208.0,102.0,False,True,False
203954,Joel Embiid,PHI,201143,Al Horford,BOS,1627732,Ben Simmons,PHI,1,12:00,0021800001,L,213.0,127.0,206.0,109.0,False,True,False
203967,Dario Saric,PHI,1627759,Jaylen Brown,BOS,201143,Al Horford,BOS,3,10:20,0021800001,L,208.0,102.0,198.0,101.0,False,False,True
1627745,Damian Jones,GSW,203500,Steven Adams,OKC,203110,Draymond Green,GSW,1,12:00,0021800002,W,211.0,111.0,211.0,120.0,False,True,False
1626172,Kevon Looney,GSW,203924,Jerami Grant,OKC,201142,Kevin Durant,GSW,4,5:43,0021800002,W,206.0,101.0,203.0,95.0,False,True,False
203110,Draymond Green,GSW,203471,Dennis Schroder,OKC,201142,Kevin Durant,GSW,4,0:15,0021800002,W,198.0,104.0,185.0,78.0,False,True,False
203500,Steven Adams,OKC,1627745,Damian Jones,GSW,203110,Draymond Green,GSW,1,12:00,0021800002,L,211.0,120.0,211.0,111.0,False,False,True
203924,Jerami Grant,OKC,1626172,Kevon Looney,GSW,201142,Kevin Durant,GSW,4,5:43,0021800002,L,203.0,95.0,206.0,101.0,False,False,True
203471,Dennis Schroder,OKC,203110,Draymond Green,GSW,201142,Kevin Durant,GSW,4,0:15,0021800002,L,185.0,78.0,198.0,104.0,False,False,True
203469,Cody Zeller,CHA,201572,Brook Lopez,MIL,203507,Giannis Antetokounmpo,MIL,1,12:00,0021800003,L,213.0,109.0,213.0,128.0,False,False,True
201572,Brook Lopez,MIL,203469,Cody Zeller,CHA,203507,Giannis Antetokounmpo,MIL,1,12:00,0021800003,W,213.0,128.0,213.0,109.0,False,True,False
203083,Andre Drummond,DET,1628386,Jarrett Allen,BKN,202704,Reggie Jackson,DET,1,12:00,0021800004,W,208.0,127.0,211.0,110.0,False,True,False
1628386,Jarrett Allen,BKN,203083,Andre Drummond,DET,202704,Reggie Jackson,DET,1,12:00,0021800004,L,211.0,110.0,208.0,127.0,False,False,True
1626167,Myles Turner,IND,201188,Marc Gasol,MEM,201954,Darren Collison,IND,1,12:00,0021800005,W,211.0,113.0,211.0,116.0,False,True,False
203506,Victor Oladipo,IND,202066,Garrett Temple,MEM,1610612763,,,1,4:58,0021800005,W,193.0,97.0,196.0,88.0,True,False,False
1627734,Domantas Sabonis,IND,1628991,Jaren Jackson Jr.,MEM,1628415,Dillon Brooks,MEM,1,2:32,0021800005,W,211.0,109.0,211.0,110.0,False,False,True
201188,Marc Gasol,MEM,1626167,Myles Turner,IND,201954,Darren Collison,IND,1,12:00,0021800005,L,211.0,116.0,211.0,113.0,False,False,True
202066,Garrett Temple,MEM,203506,Victor Oladipo,IND,1610612763,,,1,4:58,0021800005,L,196.0,88.0,193.0,97.0,True,False,False
1628991,Jaren Jackson Jr.,MEM,1627734,Domantas Sabonis,IND,1628415,Dillon Brooks,MEM,1,2:32,0021800005,L,211.0,110.0,211.0,109.0,False,True,False
202696,Nikola Vucevic,ORL,202355,Hassan Whiteside,MIA,203585,Rodney McGruder,MIA,1,12:00,0021800006,W,211.0,118.0,213.0,120.0,False,False,True
203932,Aaron Gordon,ORL,202355,Hassan Whiteside,MIA,201609,Goran Dragic,MIA,1,7:57,0021800006,W,203.0,107.0,213.0,120.0,False,False,True
203932,Aaron Gordon,ORL,202355,Hassan Whiteside,MIA,1626196,Josh Richardson,MIA,2,8:15,0021800006,W,203.0,107.0,213.0,120.0,False,False,True
202696,Nikola Vucevic,ORL,1628389,Bam Adebayo,MIA,201609,Goran Dragic,MIA,4,0:22,0021800006,W,211.0,118.0,206.0,116.0,False,False,True
202355,Hassan Whiteside,MIA,202696,Nikola Vucevic,ORL,203585,Rodney McGruder,MIA,1,12:00,0021800006,L,213.0,120.0,211.0,118.0,False,True,False
