PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,height,weight
201143,Al,Horford,Al Horford,"Horford, Al",A. Horford,1986-06-03T00:00:00,Florida,Dominican Republic,Florida/Domincan Republic,6-9,240,12,42,Center-Forward,Active,1610612755,76ers,PHI,sixers,Philadelphia,al_horford,2007,2019,N,Y,Y,2007,1,3,206.0,109.0
1627759,Jaylen,Brown,Jaylen Brown,"Brown, Jaylen",J. Brown,1996-10-24T00:00:00,California,USA,California/USA,6-6,223,3,7,Guard-Forward,Active,1610612738,Celtics,BOS,celtics,Boston,jaylen_brown,2016,2019,N,Y,Y,2016,1,3,198.0,101.0
203954,Joel,Embiid,Joel Embiid,"Embiid, Joel",J. Embiid,1994-03-16T00:00:00,Kansas,Cameroon,Kansas/Cameroon,7-0,280,3,21,Center-Forward,Active,1610612755,76ers,PHI,sixers,Philadelphia,joel_embiid,2014,2019,N,Y,Y,2014,1,3,213.0,127.0
203967,Dario,Saric,Dario Saric,"Saric, Dario",D. Saric,1994-04-08T00:00:00, ,Croatia,Anadolu Efes (Turkey)/Croatia,6-10,225,3,20,Forward,Active,1610612756,Suns,PHX,suns,Phoenix,dario_saric,2016,2019,N,Y,Y,2014,1,12,208.0,102.0
1627745,Damian,Jones,Damian Jones,"Jones, Damian",D. Jones,1995-06-30T00:00:00,Vanderbilt,USA,Vanderbilt/USA,6-11,245,3,30,Center,Active,1610612737,Hawks,ATL,hawks,Atlanta,damian_jones,2016,2019,Y,Y,Y,2016,1,30,211.0,111.0
1626172,Kevon,Looney,Kevon Looney,"Looney, Kevon",K. Looney,1996-02-06T00:00:00,UCLA,USA,UCLA/USA,6-9,222,4,5,Forward,Active,1610612744,Warriors,GSW,warriors,Golden State,kevon_looney,2015,2019,Y,Y,Y,2015,1,30,206.0,101.0
203110,Draymond,Green,Draymond Green,"Green, Draymond",D. Green,1990-03-04T00:00:00,Michigan State,USA,Michigan State/USA,6-6,230,7,23,Forward,Active,1610612744,Warriors,GSW,warriors,Golden State,draymond_green,2012,2019,N,Y,Y,2012,2,35,198.0,104.0
203500,Steven,Adams,Steven Adams,"Adams, Steven",S. Adams,1993-07-20T00:00:00,Pittsburgh,New Zealand,Pittsburgh/New Zealand,6-11,265,6,12,Center,Active,1610612760,Thunder,OKC,thunder,Oklahoma City,steven_adams,2013,2019,N,Y,Y,2013,1,12,211.0,120.0
203924,Jerami,Grant,Jerami Grant,"Grant, Jerami",J. Grant,1994-03-12T00:00:00,Syracuse,USA,Syracuse/USA,6-8,210,5,9,Forward,Active,1610612743,Nuggets,DEN,nuggets,Denver,jerami_grant,2014,2019,N,Y,Y,2014,2,39,203.0,95.0
203471,Dennis,Schroder,Dennis Schroder,"Schroder, Dennis",D. Schroder,1993-09-15T00:00:00, ,Germany,Germany/Germany,6-1,172,6,17,Guard,Active,1610612760,Thunder,OKC,thunder,Oklahoma City,dennis_schroder,2013,2019,Y,Y,Y,2013,1,17,185.0,78.0
203469,Cody,Zeller,Cody Zeller,"Zeller, Cody",C. Zeller,1992-10-05T00:00:00,Indiana,USA,Indiana/USA,7-0,240,6,40,Forward-Center,Active,1610612766,Hornets,CHA,hornets,Charlotte,cody_zeller,2013,2019,N,Y,Y,2013,1,4,213.0,109.0
201572,Brook,Lopez,Brook Lopez,"Lopez, Brook",B. Lopez,1988-04-01T00:00:00,Stanford,USA,Stanford/USA,7-0,282,11,11,Center,Active,1610612749,Bucks,MIL,bucks,Milwaukee,brook_lopez,2008,2019,N,Y,Y,2008,1,10,213.0,128.0
203083,Andre,Drummond,Andre Drummond,"Drummond, Andre",A. Drummond,1993-08-10T00:00:00,Connecticut,USA,Connecticut/USA,6-10,279,7,0,Center,Active,1610612765,Pistons,DET,pistons,Detroit,andre_drummond,2012,2019,N,Y,Y,2012,1,9,208.0,127.0
1628386,Jarrett,Allen,Jarrett Allen,"Allen, Jarrett",J. Allen,1998-04-21T00:00:00,Texas,USA,Texas/USA,6-11,243,2,31,Center,Active,1610612751,Nets,BKN,nets,Brooklyn,jarrett_allen,2017,2019,N,Y,Y,2017,1,22,211.0,110.0
1626167,Myles,Turner,Myles Turner,"Turner, Myles",M. Turner,1996-03-24T00:00:00,Texas,USA,Texas/USA,6-11,250,4,33,Center-Forward,Active,1610612754,Pacers,IND,pacers,Indiana,myles_turner,2015,2019,N,Y,Y,2015,1,11,211.0,113.0
203506,Victor,Oladipo,Victor Oladipo,"Oladipo, Victor",V. Oladipo,1992-05-04T00:00:00,Indiana,USA,Indiana/USA,6-4,213,6,4,Guard,Active,1610612754,Pacers,IND,pacers,Indiana,victor_oladipo,2013,2019,N,Y,Y,2013,1,2,193.0,97.0
1627734,Domantas,Sabonis,Domantas Sabonis,"Sabonis, Domantas",D. Sabonis,1996-05-03T00:00:00,Gonzaga,Lithuania,Gonzaga/Lithuania,6-11,240,3,11,Forward-Center,Active,1610612754,Pacers,IND,pacers,Indiana,domantas_sabonis,2016,2019,N,Y,Y,2016,1,11,211.0,109.0
201188,Marc,Gasol,Marc Gasol,"Gasol, Marc",M. Gasol,1985-01-29T00:00:00, ,Spain,FC Barcelona/Spain,6-11,255,11,33,Center,Active,1610612761,Raptors,TOR,raptors,Toronto,marc_gasol,2008,2019,N,Y,Y,2007,2,48,211.0,116.0
202066,Garrett,Temple,Garrett Temple,"Temple, Garrett",G. Temple,1986-05-08T00:00:00,Louisiana State,USA,Louisiana State/USA,6-5,195,9,17,Guard-Forward,Active,1610612751,Nets,BKN,nets,Brooklyn,garrett_temple,2009,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted,196.0,88.0
1628991,Jaren,Jackson Jr.,Jaren Jackson Jr.,"Jackson Jr., Jaren",J. Jackson Jr.,1999-09-15T00:00:00,Michigan State,USA,Michigan State University/USA,6-11,242,1,13,Forward-Center,Active,1610612763,Grizzlies,MEM,grizzlies,Memphis,jaren_jackson_jr,2018,2019,N,Y,Y,2018,1,4,211.0,110.0
202696,Nikola,Vucevic,Nikola Vucevic,"Vucevic, Nikola",N. Vucevic,1990-10-24T00:00:00,USC,Montenegro,USCMontenegro/Montenegro,6-11,260,8,9,Center,Active,1610612753,Magic,ORL,magic,Orlando,nikola_vucevic,2011,2019,N,Y,Y,2011,1,16,211.0,118.0
203932,Aaron,Gordon,Aaron Gordon,"Gordon, Aaron",A. Gordon,1995-09-16T00:00:00,Arizona,USA,Arizona/USA,6-8,235,5,00,Forward,Active,1610612753,Magic,ORL,magic,Orlando,aaron_gordon,2014,2019,N,Y,Y,2014,1,4,203.0,107.0
202355,Hassan,Whiteside,Hassan Whiteside,"Whiteside, Hassan",H. Whiteside,1989-06-13T00:00:00,Marshall,USA,MarshallUSA/USA,7-0,265,7,21,Center,Active,1610612757,Trail Blazers,POR,blazers,Portland,hassan_whiteside,2010,2019,Y,Y,Y,2010,2,33,213.0,120.0
1628389,Bam,Adebayo,Bam Adebayo,"Adebayo, Bam",B. Adebayo,1997-07-18T00:00:00,Kentucky,USA,Kentucky/USA,6-9,255,2,13,Center-Forward,Active,1610612748,Heat,MIA,heat,Miami,bam_adebayo,2017,2019,N,Y,Y,2017,1,14,206.0,116.0
202683,Enes,Kanter,Enes Kanter,"Kanter, Enes",E. Kanter,1992-05-20T00:00:00, ,Turkey,Fenerbahce Ulker/Turkey,6-10,250,8,11,Center,Active,1610612738,Celtics,BOS,celtics,Boston,enes_kanter,2011,2019,N,Y,Y,2011,1,3,208.0,113.0
203458,Alex,Len,Alex Len,"Len, Alex",A. Len,1993-06-16T00:00:00,Maryland,Ukraine,Maryland/Ukraine,7-0,250,6,25,Center,Active,1610612737,Hawks,ATL,hawks,Atlanta,alex_len,2013,2019,N,Y,Y,2013,1,5,213.0,113.0
202685,Jonas,Valanciunas,Jonas Valanciunas,"Valanciunas, Jonas",J. Valanciunas,1992-05-06T00:00:00, ,Lithuania,"Utena, Lithuania/Lithuania",6-11,265,7,17,Center,Active,1610612763,Grizzlies,MEM,grizzlies,Memphis,jonas_valanciunas,2012,2019,N,Y,Y,2011,1,5,211.0,120.0
