video_id,channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_view_count,video_comment_count,video_like_count,video_dislike_count,video_thumbnail,video_tags,collection_date
mdFDFiFNdUg,NBA,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 05:48:21.000000,"NBA Top 10 Plays of the Night | November 4, 2018","Check out the top 10 plays of the night around the NBA, featuring Giannis Antetokounmpo, Devin Booker, Omri Casspi, Josh Okogie, Pascal Siakam and more!

The Top 10 of the night in the NBA, tailored down to the very best plays. Tell us your favorites in the comments!

Subscribe to the NBA: http://bit.ly/2rCglzY

For news, stories, highlights and more, go to our official website at http://www.nba.com

Get NBA LEAGUE PASS: http://www.nba.com/leaguepass",17,620581,411,6294,231,https://i.ytimg.com/vi/mdFDFiFNdUg/hqdefault.jpg,nba|highlights|basketball|plays|amazing|sports|hoops|games|game|top10|demar derozan|pascal siakam|giannis|omri casspi|shamgod|devin booker|game winner|blocks|dunks|alley oop|bucks|raptors|lakers|suns|wizards|spurs,2019-12-29 16:26:57.305499
WkyjUET53Dw,NBA,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-04 05:42:23.000000,"NBA Top 10 Plays of the Night | November 3, 2018","Check out the top 10 plays of the night around the NBA, featuring Trae Young, Gerald Green, Tony Parker, Chandler Hutchison, James Harden, and more!

The Top 10 of the night in the NBA, tailored down to the very best plays. Tell us your favorites in the comments!

Subscribe to the NBA: http://bit.ly/2rCglzY

For news, stories, highlights and more, go to our official website at http://www.nba.com

Get NBA LEAGUE PASS: http://www.nba.com/leaguepass",17,512738,309,6641,129,https://i.ytimg.com/vi/WkyjUET53Dw/hqdefault.jpg,nba|highlights|basketball|plays|amazing|sports|hoops|games|game|Trae Young|Gerald Green|Tony Parker|Chandler Hutchison|James Harden|Demar derozan|Jayson Tatum|Brandon Ingram|Victor Oladipo|Lakers|Celtics|Game winners|dunks|assists,2019-12-29 16:26:57.508599
r2pAPk78-zs,NBA,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-03 06:11:31.000000,"NBA Top 10 Plays of the Night | November 2, 2018","Check out the top 10 plays of the night around the NBA, featuring Russell Westbrook, Nikola Vučević, Jabari Parker, Kyle Lowry, Caris LeVert, and more!

The Top 10 of the night in the NBA, tailored down to the very best plays. Tell us your favorites in the comments!

Subscribe to the NBA: http://bit.ly/2rCglzY

For news, stories, highlights and more, go to our official website at http://www.nba.com

Get NBA LEAGUE PASS: http://www.nba.com/leaguepass",17,513531,300,5672,407,https://i.ytimg.com/vi/r2pAPk78-zs/hqdefault.jpg,nba|highlights|basketball|plays|amazing|sports|hoops|games|game|Russell Westbrook|Nikola Vučević|Jabari Parker|Kyle Lowry|Caris LeVert|Shai Gilgeous Alexander|Mike Conley|Mitchell Robinson|NBA Rooks|Dunks|assists|hustle plays,2019-12-29 16:26:57.741083
YK91As17ixg,NBA,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-02 06:18:41.000000,"NBA Top 10 Plays of the Night | November 1, 2018","Check out the top 10 plays of the night around the NBA, featuring Russell Westbrook, Kyrie Irving, Miles Bridges, Joel Embiid, Mason Plumlee, and more!

The Top 10 of the night in the NBA, tailored down to the very best plays. Tell us your favorites in the comments!

Subscribe to the NBA: http://bit.ly/2rCglzY

For news, stories, highlights and more, go to our official website at http://www.nba.com

Get NBA LEAGUE PASS: http://www.nba.com/leaguepass",17,583258,319,5419,909,https://i.ytimg.com/vi/YK91As17ixg/hqdefault.jpg,nba|highlights|basketball|plays|amazing|sports|hoops|games|game|kyrie|celtics|westbrook|thunder|nancejr|cavs|plumlee|nuggets|sixers|embiid|beasley|malik|hayward|horford|okc|bos|cleveland|denver|den,2019-12-29 16:26:57.919525
FI1PXg7_Ex0,NBA,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-01 06:33:01.000000,"NBA Top 10 Plays of the Night | October 31, 2018","Check out the top 10 plays of the night around the NBA, featuring Lance Stephenson, Anthony Tolliver, Rudy Gay, Jonas Jerebko, Frank Ntilikina, Derrick Rose and more! 

The Top 10 of the night in the NBA, tailored down to the very best plays. Tell us your favorites in the comments!

Subscribe to the NBA: http://bit.ly/2rCglzY

For news, stories, highlights and more, go to our official website at http://www.nba.com

Get NBA LEAGUE PASS: http://www.nba.com/leaguepass",17,537942,287,5943,162,https://i.ytimg.com/vi/FI1PXg7_Ex0/hqdefault.jpg,nba|highlights|basketball|plays|amazing|sports|hoops|games|game|Lance Stephenson|Anthony Tolliver|Rudy Gay|Jonas Jerebko|Frank Ntilikina|Derrick Rose|Gary harris|JaVale McGee|spencer dinwiddie|Paul Millsap|game winner,2019-12-29 16:26:58.100262
_7KhBZ3VtBc,NBA,UCWJ2lWNubArHWmf3FIHbfcQ,2018-10-31 04:26:01.000000,"NBA Top 10 Plays of the Night | October 30, 2018","Check out the top 10 plays of the night around the NBA, featuring Cody Zeller, Bam Adebayo, Al Horford, Steven Adams, Mo Bamba, Clint Capela, and more! 

The Top 10 of the night in the NBA, tailored down to the very best plays. Tell us your favorites in the comments!



Subscribe to the NBA: http://bit.ly/2rCglzY

For news, stories, highlights and more, go to our official website at http://www.nba.com

Get NBA LEAGUE PASS: http://www.nba.com/leaguepass",17,516782,391,4325,1101,https://i.ytimg.com/vi/_7KhBZ3VtBc/hqdefault.jpg,nba|highlights|basketball|plays|amazing|sports|hoops|games|game|Cody Zeller|Bam Adebayo|Al Horford|Steven Adams|Mo Bamba|Clint Capela|Reggie Jackson|Russell Westbrook|Kyrie Irving|Rodney Hood,2019-12-29 16:26:58.286061
jcqut44iowU,NBA,UCWJ2lWNubArHWmf3FIHbfcQ,2018-10-30 05:21:01.000000,"NBA Top 10 Plays of the Night | October 29, 2018","Check out the top 10 plays of the night around the NBA, featuring Rudy Gay, DeMar DeRozan, Jon Henson, Jimmy Butler, Jarrett Allen, Noah Vonleh, and more! 

The Top 10 of the night in the NBA, tailored down to the very best plays. Tell us your favorites in the comments!

Subscribe to the NBA: http://bit.ly/2rCglzY

For news, stories, highlights and more, go to our official website at http://www.nba.com

Get NBA LEAGUE PASS: http://www.nba.com/leaguepass",17,553940,257,5499,143,https://i.ytimg.com/vi/jcqut44iowU/hqdefault.jpg,nba|highlights|basketball|plays|amazing|sports|hoops|games|game|Rudy Gay|DeMar DeRozan|Jon Henson|Jimmy Butler|Jarrett Allen|Noah Vonleh|Trae Young|Wendell Carter Jr|Klay Thompson|Markelle Fultz|NBA records,2019-12-29 16:26:58.467015
a0CUgVuY9UE,NBA,UCWJ2lWNubArHWmf3FIHbfcQ,2018-10-29 04:27:31.000000,"NBA Top 5 Plays of the Night | October 28, 2018","Check out the top 5 plays of the night around the NBA, featuring Stephen Curry, Paul George, Nerlens Noel, Russell Westbrook, and Kelly Oubre.

The Top 5 of the night in the NBA, tailored down to the very best plays. Tell us your favorites in the comments!

Subscribe to the NBA: http://bit.ly/2rCglzY

For news, stories, highlights and more, go to our official website at http://www.nba.com

Get NBA LEAGUE PASS: http://www.nba.com/leaguepass",17,370677,266,4518,210,https://i.ytimg.com/vi/a0CUgVuY9UE/hqdefault.jpg,nba|highlights|basketball|plays|amazing|sports|hoops|games|game|steph curry|sc30|chefcurry|pg|paul george|nerlensnoel|russell westbrook|russ|kelly oubre|wizards|thunder|okc|gsw|warriors,2019-12-29 16:26:58.644311
z1BFOSaj_N0,NBA,UCWJ2lWNubArHWmf3FIHbfcQ,2018-10-28 04:57:57.000000,"NBA Top 10 Plays of the Night | October 27, 2018","Check out the top 10 plays of the night around the NBA, featuring Taurean Prince, DeAndre' Bembry, Pau Gasol, Kyle Kuzma, Giannis Antetokounmpo, Markelle Fultz, and more! 

The Top 10 of the night in the NBA, tailored down to the very best plays. Tell us your favorites in the comments!


Subscribe to the NBA: http://bit.ly/2rCglzY

For news, stories, highlights and more, go to our official website at http://www.nba.com

Get NBA LEAGUE PASS: http://www.nba.com/leaguepass",17,564806,406,5363,483,https://i.ytimg.com/vi/z1BFOSaj_N0/hqdefault.jpg,nba|highlights|basketball|plays|amazing|sports|hoops|games|game|Taurean Prince|DeAndre' Bembry|Pau Gasol|Kyle Kuzma|Giannis Antetokounmpo|Markelle Fultz|Demar Derozan|Spurs|Lakers|LeBron James|Top 10 Plays,2019-12-29 16:26:58.848275
KxUsOyPwrS8,NBA,UCWJ2lWNubArHWmf3FIHbfcQ,2018-10-27 05:36:36.000000,"NBA Top 10 Plays of the Night | October 26, 2018","Check out the top 10 plays of the night around the NBA, featuring Kevin Durant, Miloš Teodosić, Kemba Walker, Giannis Antetokounmpo, De'Aaron Fox, Pat Connaughton, and more! 

The Top 10 of the night in the NBA, tailored down to the very best plays. Tell us your favorites in the comments!

Subscribe to the NBA: http://bit.ly/2rCglzY

For news, stories, highlights and more, go to our official website at http://www.nba.com

Get NBA LEAGUE PASS: http://www.nba.com/leaguepass",17,509262,408,4603,829,https://i.ytimg.com/vi/KxUsOyPwrS8/hqdefault.jpg,nba|highlights|basketball|plays|amazing|sports|hoops|games|game|Kevin Durant|Miloš Teodosić|Kemba Walker|Giannis Antetokounmpo|De'Aaron Fox|Anthony Davis|New Orleans Pelicans|Game Winners|NBA Best Plays|Montrezl Harrell|Jrue Holiday|Dunks|Assists,2019-12-29 16:26:59.065038
