playlist_name,playlist_id,playlist_publish_date,playlist_n_videos,channel_id,channel_name,collection_date
Best Of Decade,PLlVlyGVtvuVlk57RKBI3Uqd2Z8SKa1aHN,2019-12-29 02:34:35.000000,7,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.567609
50+ Point Games | 2019-20 NBA Season,PLlVlyGVtvuVkUdfHMTWaZhKq05y8Gx5fF,2019-12-04 06:11:21.000000,9,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.567699
NBA Duels | 2019-20 Season,PLlVlyGVtvuVlny8rODWAAppWq_Ja1rmvF,2019-11-24 00:52:10.000000,12,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.567758
Highlight Moments From Around The Association - 2019-20 Season,PLlVlyGVtvuVkbuNja8tq8slwQNsxogeYx,2019-11-21 07:26:01.000000,59,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.567809
Best Of NBA Players - 2019-20 Season,PLlVlyGVtvuVnkcvDobEKB2zvdkLj_eVyF,2019-11-21 07:18:48.000000,14,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.567857
Every Angle: Best Plays Around The Association,PLlVlyGVtvuVnbYFbZSuMTTFdHnbLxW-T_,2019-11-16 03:07:42.000000,16,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.567905
Nightly Full Game Highlights - 2019-20 Season,PLlVlyGVtvuVlZhRJYJHR3haOPJCrZeyUB,2019-11-13 16:16:31.000000,552,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.567951
NBA's Fantastic Finishes - 2019-20 Season,PLlVlyGVtvuVn_NvKhowqiQYoWuojtB-PD,2019-10-26 03:41:16.000000,14,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.567997
NBA's Top Performances - 2019-20 Season,PLlVlyGVtvuVnCIDze_138_AX64G_MUcAi,2019-10-24 06:17:58.000000,72,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.568042
NBA's Top Plays of the Night - 2019-20 Season,PLlVlyGVtvuVniekgwI1mQ2zPUpo1Z4qWk,2019-10-23 03:30:52.000000,83,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.568098
