video_id,channel_id,publish_date,collection_date
mdFDFiFNdUg,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 20:59:14.000000,2019-12-29 16:13:34.174690
WkyjUET53Dw,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 20:59:24.000000,2019-12-29 16:13:34.174884
r2pAPk78-zs,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 20:59:33.000000,2019-12-29 16:13:34.175061
YK91As17ixg,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 20:59:43.000000,2019-12-29 16:13:34.175170
FI1PXg7_Ex0,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 20:59:57.000000,2019-12-29 16:13:34.175275
_7KhBZ3VtBc,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 21:00:06.000000,2019-12-29 16:13:34.175378
jcqut44iowU,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 21:00:18.000000,2019-12-29 16:13:34.175479
a0CUgVuY9UE,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 21:00:27.000000,2019-12-29 16:13:34.175581
z1BFOSaj_N0,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 21:00:34.000000,2019-12-29 16:13:34.175682
KxUsOyPwrS8,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 21:00:44.000000,2019-12-29 16:13:34.175783
xA-dkUjlJ9M,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 21:00:52.000000,2019-12-29 16:13:34.175884
rhF2g1hG2YA,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 21:01:01.000000,2019-12-29 16:13:34.175985
mzKBb5r8NNQ,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 21:01:10.000000,2019-12-29 16:13:34.176086
ufSHCVQ3Wc0,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 21:01:17.000000,2019-12-29 16:13:34.176186
BizUFX8OSjo,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 21:01:27.000000,2019-12-29 16:13:34.418528
V4sxA3_9Y24,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 21:01:35.000000,2019-12-29 16:13:34.418677
xmiubVc9XPc,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 21:01:48.000000,2019-12-29 16:13:34.418800
5wdouLFDPvk,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 21:01:57.000000,2019-12-29 16:13:34.418918
D03kXJdAkEk,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 21:02:04.000000,2019-12-29 16:13:34.419033
8sc2ncaHHd8,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-05 21:02:12.000000,2019-12-29 16:13:34.419146
Y29-VZJqZxw,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-06 19:21:52.000000,2019-12-29 16:13:34.174503
BNSK494NUWc,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-08 19:25:37.000000,2019-12-29 16:13:34.174374
JCgh6Ikd2pU,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-08 19:26:02.000000,2019-12-29 16:13:34.174269
pUmdHGfxve8,UCWJ2lWNubArHWmf3FIHbfcQ,2018-11-13 00:11:07.000000,2019-12-29 16:13:34.173963
