Yr,Lg,Series, , ,Team,W, ,Team,W, ,Favorite,Underdog
2020,NBA,Eastern Conf First Round,"Aug 18 - Aug 29, 2020",,Milwaukee Bucks (1),,,Orlando Magic (8),,,MIL (-7500),ORL (+3250)
2020,NBA,Eastern Conf First Round,"Aug 17 - Aug 23, 2020",,Toronto Raptors (2),,,Brooklyn Nets (7),,,TOR (-2200),BRK (+1315)
2020,NBA,Eastern Conf First Round,"Aug 17 - Aug 23, 2020",,Boston Celtics (3),,,Philadelphia 76ers (6),,,BOS (-450),PHI (+360)
2020,NBA,Eastern Conf First Round,"Aug 18 - Aug 24, 2020",,Miami Heat (5),,,Indiana Pacers (4),,,MIA (-320),IND (+260)
2020,NBA,Western Conf First Round,"Aug 18 - Aug 29, 2020",,Los Angeles Lakers (1),,,Portland Trail Blazers (8),,,LAL (-550),POR (+425)
2020,NBA,Western Conf First Round,"Aug 17 - Aug 30, 2020",,Los Angeles Clippers (2),,,Dallas Mavericks (7),,,LAC (-630),DAL (+465)
2020,NBA,Western Conf First Round,"Aug 17 - Sep 1, 2020",,Denver Nuggets (3),,,Utah Jazz (6),,,DEN (-285),UTA (+243)
2020,NBA,Western Conf First Round,"Aug 18 - Sep 2, 2020",,Houston Rockets (4),,,Oklahoma City Thunder (5),,,HOU (-160),OKC (+140)
2020,NBA,Eastern Conf Semifinals,"Aug 30 - Sep 11, 2020",,Boston Celtics (3),,,Toronto Raptors (2),,,TOR (-135),BOS (+115)
2020,NBA,Eastern Conf Semifinals,"Aug 31 - Sep 8, 2020",,Miami Heat (5),,,Milwaukee Bucks (1),,,MIL (-440),MIA (+350)
2020,NBA,Western Conf Semifinals,"Sep 3 - Sep 15, 2020",,Denver Nuggets (3),,,Los Angeles Clippers (2),,,LAC (-1300),DEN (+850)
2020,NBA,Western Conf Semifinals,"Sep 4 - Sep 12, 2020",,Los Angeles Lakers (1),,,Houston Rockets (4),,,LAL (-550),HOU (+425)
2020,NBA,Eastern Conf Finals,"Sep 15 - Sep 27, 2020",,Miami Heat (5),,,Boston Celtics (3),,,BOS (-130),MIA (+110)
2020,NBA,Western Conf Finals,"Sep 18 - Sep 26, 2020",,Los Angeles Lakers (1),,,Denver Nuggets (3),,,LAL (-550),DEN (+425)
2020,NBA,Finals,"Sep 30 - Oct 11, 2020",,Los Angeles Lakers (1),,,Miami Heat (5),,,LAL (-350),MIA (+290)
,,,,,,,,,,,,
2019,NBA,Eastern Conf First Round,"Apr 14 - Apr 22, 2019",,Milwaukee Bucks (1),,,Detroit Pistons (8),,,MIL (-3500),DET (+1750)
2019,NBA,Eastern Conf First Round,"Apr 13 - Apr 23, 2019",,Toronto Raptors (2),,,Orlando Magic (7),,,TOR (-1200),ORL (+775)
2019,NBA,Eastern Conf First Round,"Apr 13 - Apr 23, 2019",,Philadelphia 76ers (3),,,Brooklyn Nets (6),,,PHI (-600),BRK (+450)
2019,NBA,Eastern Conf First Round,"Apr 14 - Apr 21, 2019",,Boston Celtics (4),,,Indiana Pacers (5),,,BOS (-465),IND (+370)
2019,NBA,Western Conf First Round,"Apr 13 - Apr 26, 2019",,Golden State Warriors (1),,,Los Angeles Clippers (8),,,GSW (-15000),LAC (+6000)
2019,NBA,Western Conf First Round,"Apr 13 - Apr 27, 2019",,Denver Nuggets (2),,,San Antonio Spurs (7),,,DEN (-270),SAS (+230)
2019,NBA,Western Conf First Round,"Apr 14 - Apr 23, 2019",,Portland Trail Blazers (3),,,Oklahoma City Thunder (6),,,OKC (-165),POR (+145)
2019,NBA,Western Conf First Round,"Apr 14 - Apr 24, 2019",,Houston Rockets (4),,,Utah Jazz (5),,,HOU (-310),UTA (+255)
2019,NBA,Eastern Conf Semifinals,"Apr 28 - May 8, 2019",,Milwaukee Bucks (1),,,Boston Celtics (4),,,MIL (-360),BOS (+300)
2019,NBA,Eastern Conf Semifinals,"Apr 27 - May 12, 2019",,Toronto Raptors (2),,,Philadelphia 76ers (3),,,TOR (-290),PHI (+245)
2019,NBA,Western Conf Semifinals,"Apr 28 - May 10, 2019",,Golden State Warriors (1),,,Houston Rockets (4),,,GSW (-280),HOU (+240)
2019,NBA,Western Conf Semifinals,"Apr 29 - May 12, 2019",,Portland Trail Blazers (3),,,Denver Nuggets (2),,,DEN (-145),POR (+125)
2019,NBA,Eastern Conf Finals,"May 15 - May 25, 2019",,Toronto Raptors (2),,,Milwaukee Bucks (1),,,MIL (-270),TOR (+230)
2019,NBA,Western Conf Finals,"May 14 - May 20, 2019",,Golden State Warriors (1),,,Portland Trail Blazers (3),,,GSW (-550),POR (+425)
2019,NBA,Finals,"May 30 - Jun 13, 2019",,Toronto Raptors (2),,,Golden State Warriors (1),,,GSW (-270),TOR (+230)
,,,,,,,,,,,,
2018,NBA,Eastern Conf First Round,"Apr 14 - Apr 27, 2018",,Toronto Raptors (1),,,Washington Wizards (8),,,TOR (-630),WAS (+465)
2018,NBA,Eastern Conf First Round,"Apr 15 - Apr 28, 2018",,Boston Celtics (2),,,Milwaukee Bucks (7),,,BOS (-150),MIL (+130)
2018,NBA,Eastern Conf First Round,"Apr 14 - Apr 24, 2018",,Philadelphia 76ers (3),,,Miami Heat (6),,,PHI (-500),MIA (+400)
2018,NBA,Eastern Conf First Round,"Apr 15 - Apr 29, 2018",,Cleveland Cavaliers (4),,,Indiana Pacers (5),,,CLE (-600),IND (+450)
2018,NBA,Western Conf First Round,"Apr 15 - Apr 25, 2018",,Houston Rockets (1),,,Minnesota Timberwolves (8),,,HOU (-3000),MIN (+1500)
2018,NBA,Western Conf First Round,"Apr 14 - Apr 24, 2018",,Golden State Warriors (2),,,San Antonio Spurs (7),,,GSW (-900),SAS (+600)
2018,NBA,Western Conf First Round,"Apr 14 - Apr 21, 2018",,New Orleans Pelicans (6),,,Portland Trail Blazers (3),,,POR (-220),NOP (+180)
